circuit_type,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,num_runs
and_tree,8,base,gecode,minizinc,SAT,0.17415165901184082,0.17129095395406088,0.00921672456586113,0.16098308563232422,0.17873811721801758,3
and_tree,8,base,chuffed,minizinc,SAT,0.15399718284606934,0.1562328338623047,0.0064786220151550585,0.1511681079864502,0.16353321075439453,3
and_tree,8,base,z3,smt,SAT,0.012087821960449219,0.012117942174275717,0.0007487312307849605,0.011384725570678711,0.012881278991699219,3
and_tree,8,base,cvc5,smt,SAT,0.007727622985839844,0.007616281509399414,0.0015970992928383602,0.0059664249420166016,0.009154796600341797,3
and_tree,8,sbc,gecode,minizinc,SAT,0.15134739875793457,0.1509526570638021,0.0008348312369090735,0.1499936580657959,0.15151691436767578,3
and_tree,8,sbc,chuffed,minizinc,SAT,0.15843462944030762,0.16570679346720377,0.016696772902440593,0.15387940406799316,0.18480634689331055,3
and_tree,8,sbc,z3,smt,SAT,0.014221668243408203,0.014049688975016275,0.0004086258895180515,0.013583183288574219,0.014344215393066406,3
and_tree,8,sbc,cvc5,smt,SAT,0.007648468017578125,0.007280111312866211,0.0007221790853412525,0.006448030471801758,0.00774383544921875,3
and_tree,8,sbc_half,gecode,minizinc,SAT,0.16257810592651367,0.16808557510375977,0.010692392931487401,0.1612696647644043,0.18040895462036133,3
and_tree,8,sbc_half,chuffed,minizinc,SAT,0.15418696403503418,0.15479024251302084,0.009664957834355307,0.14544105529785156,0.16474270820617676,3
and_tree,8,sbc_half,z3,smt,SAT,0.013961315155029297,0.013912598292032877,0.0005745900781967574,0.013315200805664062,0.014461278915405273,3
and_tree,8,sbc_half,cvc5,smt,SAT,0.007639884948730469,0.007010459899902344,0.001260929147372992,0.00555872917175293,0.007832765579223633,3
and_tree,16,base,gecode,minizinc,SAT,0.1687777042388916,0.17063609759012857,0.004289259554897855,0.16758942604064941,0.17554116249084473,3
and_tree,16,base,chuffed,minizinc,SAT,0.15564465522766113,0.16310683886210123,0.013719918363638098,0.15473532676696777,0.1789405345916748,3
and_tree,16,base,z3,smt,SAT,0.015123367309570312,0.014641602834065756,0.00160766382153029,0.012848138809204102,0.01595330238342285,3
and_tree,16,base,cvc5,smt,SAT,0.008655548095703125,0.008869250615437826,0.0007232425271937135,0.008276939392089844,0.009675264358520508,3
and_tree,16,sbc,gecode,minizinc,SAT,0.15620112419128418,0.15653491020202637,0.003026018862522078,0.15368962287902832,0.1597139835357666,3
and_tree,16,sbc,chuffed,minizinc,SAT,0.15459704399108887,0.15592002868652344,0.002567782851383107,0.1542835235595703,0.15887951850891113,3
