circuit_type,size,variant,solver,backend,status,run_id,wall_time,solve_time
and_tree,32,sbc,gecode,minizinc,SAT,1,0.16983962059020996,0.000129845
and_tree,32,sbc,gecode,minizinc,SAT,2,0.20926260948181152,0.000123032
and_tree,32,sbc,gecode,minizinc,SAT,3,0.1725749969482422,0.000120257
and_tree,32,sbc,chuffed,minizinc,SAT,1,0.17009544372558594,0.0
and_tree,32,sbc,chuffed,minizinc,SAT,2,0.17560577392578125,0.0
and_tree,32,sbc,chuffed,minizinc,SAT,3,0.147674560546875,0.0
and_tree,32,sbc,z3,smt,SAT,1,0.01278376579284668,
and_tree,32,sbc,z3,smt,SAT,2,0.012981653213500977,
and_tree,32,sbc,z3,smt,SAT,3,0.014442682266235352,
and_tree,32,sbc,cvc5,smt,SAT,1,0.012667417526245117,
and_tree,32,sbc,cvc5,smt,SAT,2,0.014815807342529297,
and_tree,32,sbc,cvc5,smt,SAT,3,0.015010595321655273,
and_tree,32,sbc_half,gecode,minizinc,SAT,1,0.16688132286071777,8.0372e-05
and_tree,32,sbc_half,gecode,minizinc,SAT,2,0.16701221466064453,8.5391e-05
and_tree,32,sbc_half,gecode,minizinc,SAT,3,0.20674848556518555,8.6524e-05
and_tree,32,sbc_half,chuffed,minizinc,SAT,1,0.17019963264465332,0.0
and_tree,32,sbc_half,chuffed,minizinc,SAT,2,0.17519497871398926,0.0
and_tree,32,sbc_half,chuffed,minizinc,SAT,3,0.16467571258544922,0.0
and_tree,32,sbc_half,z3,smt,SAT,1,0.015763044357299805,
and_tree,32,sbc_half,z3,smt,SAT,2,0.014890432357788086,
and_tree,32,sbc_half,z3,smt,SAT,3,0.015587091445922852,
and_tree,32,sbc_half,cvc5,smt,SAT,1,0.011857271194458008,
and_tree,32,sbc_half,cvc5,smt,SAT,2,0.012580633163452148,
and_tree,32,sbc_half,cvc5,smt,SAT,3,0.01314997673034668,
and_tree,64,base,gecode,minizinc,SAT,1,0.200209379196167,0.000150694
and_tree,64,base,gecode,minizinc,SAT,2,0.18129777908325195,0.000149792
and_tree,64,base,gecode,minizinc,SAT,3,0.16149592399597168,0.000121319
and_tree,64,base,chuffed,minizinc,SAT,1,0.1531987190246582,0.001
and_tree,64,base,chuffed,minizinc,SAT,2,0.16488146781921387,0.001
and_tree,64,base,chuffed,minizinc,SAT,3,0.15703868865966797,0.001
and_tree,64,base,z3,smt,SAT,1,0.014760494232177734,
and_tree,64,base,z3,smt,SAT,2,0.014687299728393555,
and_tree,64,base,z3,smt,SAT,3,0.019145965576171875,
and_tree,64,base,cvc5,smt,SAT,1,0.020554304122924805,
and_tree,64,base,cvc5,smt,SAT,2,0.035666465759277344,
and_tree,64,base,cvc5,smt,SAT,3,0.04621243476867676,
and_tree,64,sbc,gecode,minizinc,SAT,1,0.18128395080566406,0.000147138
and_tree,64,sbc,gecode,minizinc,SAT,2,0.16298651695251465,0.000134845
and_tree,64,sbc,gecode,minizinc,SAT,3,0.16943621635437012,0.000133081
and_tree,64,sbc,chuffed,minizinc,SAT,1,0.1721057891845703,0.001
and_tree,64,sbc,chuffed,minizinc,SAT,2,0.163132905960083,0.0
and_tree,64,sbc,chuffed,minizinc,SAT,3,0.1501476764678955,0.0
and_tree,64,sbc,z3,smt,SAT,1,0.014194488525390625,
and_tree,64,sbc,z3,smt,SAT,2,0.014254331588745117,
and_tree,64,sbc,z3,smt,SAT,3,0.015810728073120117,
and_tree,64,sbc,cvc5,smt,SAT,1,0.023525714874267578,
and_tree,64,sbc,cvc5,smt,SAT,2,0.022774457931518555,
and_tree,64,sbc,cvc5,smt,SAT,3,0.021897554397583008,
and_tree,64,sbc_half,gecode,minizinc,SAT,1,0.16224384307861328,9.4869e-05
and_tree,64,sbc_half,gecode,minizinc,SAT,2,0.17616653442382812,0.000109897
and_tree,64,sbc_half,gecode,minizinc,SAT,3,0.17320752143859863,0.000129835
and_tree,64,sbc_half,chuffed,minizinc,SAT,1,0.15837335586547852,0.0
and_tree,64,sbc_half,chuffed,minizinc,SAT,2,0.14551305770874023,0.0
and_tree,64,sbc_half,chuffed,minizinc,SAT,3,0.15476465225219727,0.0
and_tree,64,sbc_half,z3,smt,SAT,1,0.014463186264038086,
and_tree,64,sbc_half,z3,smt,SAT,2,0.015564203262329102,
and_tree,64,sbc_half,z3,smt,SAT,3,0.014962911605834961,
and_tree,64,sbc_half,cvc5,smt,SAT,1,0.01448512077331543,
and_tree,64,sbc_half,cvc5,smt,SAT,2,0.016128063201904297,
and_tree,64,sbc_half,cvc5,smt,SAT,3,0.014966964721679688,
and_tree,128,base,gecode,minizinc,SAT,1,0.16403722763061523,0.000196179
and_tree,128,base,gecode,minizinc,SAT,2,0.174729585647583,0.00020128
and_tree,128,base,gecode,minizinc,SAT,3,0.18043231964111328,0.000199105
and_tree,128,base,chuffed,minizinc,SAT,1,0.18891358375549316,0.0
and_tree,128,base,chuffed,minizinc,SAT,2,0.1709270477294922,0.0
and_tree,128,base,chuffed,minizinc,SAT,3,0.15981125831604004,0.0
and_tree,128,base,z3,smt,SAT,1,0.01817941665649414,
and_tree,128,base,z3,smt,SAT,2,0.01637554168701172,
and_tree,128,base,z3,smt,SAT,3,0.0192873477935791,
and_tree,128,base,cvc5,smt,SAT,1,0.040171146392822266,
and_tree,128,base,cvc5,smt,SAT,2,0.04250454902648926,
and_tree,128,base,cvc5,smt,SAT,3,0.0412602424621582,
and_tree,128,sbc,gecode,minizinc,SAT,1,0.17635345458984375,0.000218161
and_tree,128,sbc,gecode,minizinc,SAT,2,0.17380762100219727,0.000178516
and_tree,128,sbc,gecode,minizinc,SAT,3,0.16979289054870605,0.00018577
and_tree,128,sbc,chuffed,minizinc,SAT,1,0.14579343795776367,0.0
and_tree,128,sbc,chuffed,minizinc,SAT,2,0.16813158988952637,0.0
and_tree,128,sbc,chuffed,minizinc,SAT,3,0.15999269485473633,0.0
and_tree,128,sbc,z3,smt,SAT,1,0.020612239837646484,
and_tree,128,sbc,z3,smt,SAT,2,0.019465923309326172,
and_tree,128,sbc,z3,smt,SAT,3,0.018889188766479492,
and_tree,128,sbc,cvc5,smt,SAT,1,0.0512392520904541,
and_tree,128,sbc,cvc5,smt,SAT,2,0.043178558349609375,
and_tree,128,sbc,cvc5,smt,SAT,3,0.040039777755737305,
and_tree,128,sbc_half,gecode,minizinc,SAT,1,0.1751546859741211,0.000119505
and_tree,128,sbc_half,gecode,minizinc,SAT,2,0.16052794456481934,0.000139573
and_tree,128,sbc_half,gecode,minizinc,SAT,3,0.16527104377746582,0.000170512
and_tree,128,sbc_half,chuffed,minizinc,SAT,1,0.15735673904418945,0.001
and_tree,128,sbc_half,chuffed,minizinc,SAT,2,0.15018630027770996,0.001
and_tree,128,sbc_half,chuffed,minizinc,SAT,3,0.148301362991333,0.0
and_tree,128,sbc_half,z3,smt,SAT,1,0.01936483383178711,
and_tree,128,sbc_half,z3,smt,SAT,2,0.019305944442749023,
and_tree,128,sbc_half,z3,smt,SAT,3,0.016451597213745117,
and_tree,128,sbc_half,cvc5,smt,SAT,1,0.025096416473388672,
and_tree,128,sbc_half,cvc5,smt,SAT,2,0.02596902847290039,
and_tree,128,sbc_half,cvc5,smt,SAT,3,0.027966022491455078,
and_tree,256,base,gecode,minizinc,SAT,1,0.18136835098266602,0.000316446
and_tree,256,base,gecode,minizinc,SAT,2,0.1683201789855957,0.000312339
and_tree,256,base,gecode,minizinc,SAT,3,0.16881394386291504,0.000295507
and_tree,256,base,chuffed,minizinc,SAT,1,0.16846489906311035,0.001
and_tree,256,base,chuffed,minizinc,SAT,2,0.15672993659973145,0.0
and_tree,256,base,chuffed,minizinc,SAT,3,0.1825566291809082,0.0
and_tree,256,base,z3,smt,SAT,1,0.022977590560913086,
and_tree,256,base,z3,smt,SAT,2,0.024492502212524414,
and_tree,256,base,z3,smt,SAT,3,0.022071123123168945,
and_tree,256,base,cvc5,smt,SAT,1,0.08388638496398926,
and_tree,256,base,cvc5,smt,SAT,2,0.09650635719299316,
and_tree,256,base,cvc5,smt,SAT,3,0.08578944206237793,
and_tree,256,sbc,gecode,minizinc,SAT,1,0.1726386547088623,0.000307741
and_tree,256,sbc,gecode,minizinc,SAT,2,0.17298221588134766,0.000321246
and_tree,256,sbc,gecode,minizinc,SAT,3,0.16525959968566895,0.000398461
