size pb drat
2 7 7
3 7 15
4 7 59
5 7 245
6 7 2000
7 7 15143
8 7 97904
9 7 517775
10 7 4113241
11 7 27490336
12 7 nan
13 7 nan
14 7 nan
15 7 nan
16 7 nan
17 7 nan
18 7 nan
19 7 nan
20 7 nan
