problem,size,variant,solver,backend,status,time_median,time_mean,time_std,time_min,time_max,par2,num_runs,num_sat,num_unsat,num_timeout,num_error
graphcoloring_kcolorable,60,base,gecode,minizinc,SAT,0.000215296,0.00022277033333333333,3.841083735527426e-05,0.000188646,0.000264369,0.00022277033333333333,3,3,0,0,0
graphcoloring_kcolorable,60,base,chuffed,minizinc,SAT,0.004,0.0036666666666666666,0.0005773502691896258,0.003,0.004,0.0036666666666666666,3,3,0,0,0
graphcoloring_kcolorable,60,base,z3,smt,SAT,0.22,0.22333333333333333,0.005773502691896263,0.22,0.23,0.22333333333333333,3,3,0,0,0
graphcoloring_kcolorable,60,base,cvc5,smt,SAT,0.441,0.44133333333333336,0.011503622617824942,0.43,0.453,0.44133333333333336,3,3,0,0,0
graphcoloring_kcolorable,60,sbc,gecode,minizinc,SAT,0.000199096,0.00022452033333333332,4.5967826752342045e-05,0.000196881,0.000277584,0.00022452033333333332,3,3,0,0,0
graphcoloring_kcolorable,60,sbc,chuffed,minizinc,SAT,0.001,0.0006666666666666666,0.0005773502691896258,0.0,0.001,0.0006666666666666666,3,3,0,0,0
graphcoloring_kcolorable,60,sbc,z3,smt,SAT,0.24,0.24333333333333332,0.005773502691896263,0.24,0.25,0.24333333333333332,3,3,0,0,0
graphcoloring_kcolorable,60,sbc,cvc5,smt,SAT,0.38,0.38,0.008000000000000007,0.372,0.388,0.38,3,3,0,0,0
graphcoloring_kcolorable,70,base,gecode,minizinc,SAT,0.000233621,0.000232562,3.3879924734272834e-06,0.000228771,0.000235294,0.000232562,3,3,0,0,0
graphcoloring_kcolorable,70,base,chuffed,minizinc,SAT,0.221,0.23233333333333334,0.02318045153428495,0.217,0.259,0.23233333333333334,3,3,0,0,0
graphcoloring_kcolorable,70,base,z3,smt,SAT,1.69,1.6933333333333334,0.005773502691896263,1.69,1.7,1.6933333333333334,3,3,0,0,0
graphcoloring_kcolorable,70,base,cvc5,smt,SAT,1.324,1.34,0.030347981810987034,1.321,1.375,1.34,3,3,0,0,0
graphcoloring_kcolorable,70,sbc,gecode,minizinc,SAT,0.000236827,0.000236049,4.65303975912521e-06,0.000231056,0.000240264,0.000236049,3,3,0,0,0
graphcoloring_kcolorable,70,sbc,chuffed,minizinc,SAT,0.065,0.066,0.002645751311064593,0.064,0.069,0.066,3,3,0,0,0
graphcoloring_kcolorable,70,sbc,z3,smt,SAT,1.67,1.6633333333333333,0.011547005383792526,1.65,1.67,1.6633333333333333,3,3,0,0,0
graphcoloring_kcolorable,70,sbc,cvc5,smt,SAT,3.657,3.6933333333333334,0.22966569907875523,3.484,3.939,3.6933333333333334,3,3,0,0,0
