family,size_param,regime,sbc,pb_vars,pb_constraints,opb_bytes,roundingsat_time_s,roundingsat_status,rsat_det_time,rsat_conflicts,rsat_decisions,rsat_propagations,rsat_cpu_s,rsat_log_lines,rsat_log_bytes,veripb_proof_lines,veripb_proof_bytes,veripb_elaborate_time_s,kernel_cert_chars,check_ns,check_status,pipeline_gross_s,pipeline_net_s,pipeline_status
vdw,9,none,—,9,32,901,0.0028,UNSAT,585,10,9,53,0.000986,19,572,19,593,0.0028,593,367496,OK,2.693,0.557,OK
vdw,9,vp,value_precedence,9,33,914,0.0030,UNSAT,245,5,4,27,0,22,492,22,525,0.0026,525,257228,OK,2.73,0.593,OK
vdw,10,none,—,10,40,1122,0.0028,UNSAT,673,9,8,63,0.000844,23,696,23,731,0.0028,731,551856,OK,2.838,0.701,OK
vdw,10,vp,value_precedence,10,41,1135,0.0028,UNSAT,274,5,4,30,0.000183,22,492,22,525,0.0022,525,347047,OK,2.725,0.588,OK
vdw,11,none,—,11,50,1399,0.0024,UNSAT,628,8,7,56,0.000201,21,592,21,627,0.0027,627,494417,OK,2.807,0.671,OK
vdw,11,vp,value_precedence,11,51,1412,0.0030,UNSAT,333,5,4,33,0.000778,22,495,22,526,0.0031,526,389116,OK,2.7,0.563,OK
vdw,27,none,—,54,534,19141,0.0844,UNSAT,3097187,4657,5225,78033,0.070308,4755,391266,4755,400120,0.0182,400120,211127753,OK,4.223,2.086,OK
vdw,27,vp,value_precedence,54,536,19179,0.0989,UNSAT,1229061,2104,2348,34238,0.078584,3956,541630,3956,532648,0.0148,532648,166744719,OK,4.152,2.015,OK
vdw,28,none,—,56,574,20598,0.1207,UNSAT,4259242,5801,6437,98114,0.091521,5973,482811,5973,494210,0.0217,494210,303816552,OK,4.482,2.346,OK
vdw,28,vp,value_precedence,56,576,20636,0.1549,UNSAT,2960211,2035,2260,33804,0.126088,4655,1260260,4655,1237833,0.0264,1237833,275051495,OK,4.602,2.466,OK
vdw,76,none,—,228,5776,246869,,TIMEOUT,,,,,,,,,,,,,,,,
vdw,76,vp,value_precedence,228,5779,246944,,TIMEOUT,,,,,,,,,,,,,,,,
php,2,none,—,3,2,105,0.0035,UNSAT,2,1,0,0,0,7,157,7,168,0.0026,168,111350,OK,3.718,0.487,OK
php,2,vp,value_precedence,3,3,118,0.0031,UNSAT,4,0,0,3,0,11,201,11,217,0.0025,217,158909,OK,3.542,0.311,OK
php,3,none,—,8,7,257,0.0034,UNSAT,3,1,0,0,0.001027,7,180,7,191,0.0026,191,129053,OK,3.644,0.413,OK
php,3,vp,value_precedence,8,9,295,0.0024,UNSAT,11,0,0,8,0.000356,19,414,19,440,0.0024,440,271822,OK,3.724,0.493,OK
php,4,none,—,15,14,497,0.0029,UNSAT,4,1,0,0,0.000269,7,210,7,221,0.0020,221,175180,OK,3.529,0.298,OK
php,4,vp,value_precedence,15,17,572,0.0025,UNSAT,25,0,0,15,0,28,696,28,731,0.0023,731,433115,OK,3.728,0.497,OK
php,5,none,—,24,23,814,0.0031,UNSAT,5,1,0,0,0,7,234,7,245,0.0017,245,126087,OK,3.804,0.573,OK
php,5,vp,value_precedence,24,27,945,0.0030,UNSAT,46,0,0,24,0.000218,39,1056,39,1101,0.0023,1101,366920,OK,3.532,0.302,OK
php,6,none,—,35,34,1204,0.0028,UNSAT,6,1,0,0,0.00067,7,258,7,269,0.0021,269,114776,OK,3.619,0.389,OK
php,6,vp,value_precedence,35,39,1405,0.0030,UNSAT,74,0,0,35,0.000261,52,1500,52,1556,0.0021,1556,495883,OK,3.754,0.523,OK
php,7,none,—,48,47,1670,0.0036,UNSAT,7,1,0,0,0.000372,7,282,7,293,0.0021,293,145073,OK,3.555,0.324,OK
php,7,vp,value_precedence,48,53,1955,0.0025,UNSAT,109,0,0,48,0.000204,67,2052,67,2120,0.0024,2120,661966,OK,3.741,0.51,OK
php,8,none,—,63,62,2210,0.0036,UNSAT,22,1,0,0,0,7,306,7,317,0.0023,317,167816,OK,3.849,0.619,OK
php,8,vp,value_precedence,63,69,2593,0.0032,UNSAT,151,0,0,63,0.000193,84,2744,84,2825,0.0027,2825,1880619,OK,3.54,0.309,OK
php,9,none,—,80,79,2824,0.0042,UNSAT,18,1,0,0,0.001343,7,330,7,341,0.0030,341,522222,OK,3.747,0.516,OK
